timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1723752000000,57046.34,57885.0,56078.54,57541.06,7039.7416,1723766399999,402284659.61955710,411181,3258.28508000,186181271.54430150,0
1723766400000,57541.05,58517.47,57098.62,57890.0,4146.62428,1723780799999,239602767.19696260,280784,2210.75005000,127776913.42572890,0
1723780800000,57890.0,58666.77,57800.47,58456.99,3244.35689,1723795199999,189133005.02325320,215874,1772.59916000,103317777.53528100,0
1723795200000,58456.99,58683.47,58218.71,58400.0,2450.75569,1723809599999,143251079.18167060,194121,1162.90954000,67984726.10037110,0
1723809600000,58400.0,58915.18,57526.31,58071.06,8248.43744,1723823999999,479610184.31186440,639602,3827.16804000,222543817.07485410,0
1723824000000,58071.07,59817.76,58000.0,59683.39,6963.94372,1723838399999,411797168.73421490,472931,3855.04454000,227981258.45814100,0
1723838400000,59683.39,59715.69,58703.99,58874.6,2556.72542,1723852799999,151260695.88530590,196227,1135.04691000,67136140.95107010,0
1723852800000,58874.59,59389.18,58785.05,59158.37,1769.95814,1723867199999,104639396.15494740,156796,1007.92475000,59588575.32055830,0
1723867200000,59158.36,59263.47,59051.98,59248.0,1106.84453,1723881599999,65506026.47966060,93411,593.00057000,35093391.83458610,0
1723881600000,59248.0,59477.16,59060.0,59137.12,1327.01136,1723895999999,78605286.13578550,142051,615.56921000,36465149.08505950,0
1723896000000,59137.12,59654.9,59100.28,59388.11,1490.86412,1723910399999,88520629.80809690,170202,756.41621000,44914551.78649990,0
1723910400000,59388.11,59700.0,59294.31,59473.19,1157.01055,1723924799999,68845467.22174660,146664,503.48447000,29958682.48593050,0
1723924800000,59473.19,59500.0,59113.68,59491.99,870.04061,1723939199999,51620899.97204690,98035,395.25789000,23457123.29720480,0
1723939200000,59491.99,60259.01,59300.0,59337.42,2850.6571,1723953599999,170369378.01876520,219693,1501.88313000,89776801.74529290,0
1723953600000,59337.41,59698.0,59256.56,59573.39,1521.38536,1723967999999,90538657.58740500,128935,777.19623000,46254807.75651170,0
1723968000000,59573.39,60200.0,59436.0,60024.01,2556.86768,1723982399999,153159196.44814310,207360,1337.10438000,80106228.28190020,0
1723982400000,60024.0,60284.99,59669.85,59863.99,2229.08779,1723996799999,133678393.90916260,181633,1086.57475000,65172703.23500570,0
1723996800000,59863.99,59945.83,59377.14,59708.38,1411.05054,1724011199999,84139748.97301710,144639,642.33932000,38309194.19742650,0
1724011200000,59708.38,59869.77,58408.92,58427.35,3065.8087,1724025599999,181281205.78999210,217470,1315.48473000,77839745.65584530,0
1724025600000,58427.35,58763.83,58210.03,58736.85,4986.95947,1724039999999,291636344.19891680,286797,2273.48433000,132993883.20369900,0
1724040000000,58736.85,58746.0,58359.5,58502.19,2077.63203,1724054399999,121644289.14819450,171760,967.68564000,56659410.64267260,0
1724054400000,58502.19,58671.38,57787.3,58396.95,4744.05742,1724068799999,276099668.87784890,279232,2424.75073000,141118170.32264470,0
1724068800000,58396.94,58970.0,58029.77,58539.24,4628.31977,1724083199999,270676247.72741410,376830,2478.70404000,144968739.19826070,0
1724083200000,58539.25,59290.0,58380.0,58967.53,3169.47813,1724097599999,186621121.23829130,312432,1504.94606000,88636669.07235010,0
1724097600000,58967.54,59617.63,58914.0,59438.5,3202.86569,1724111999999,189610229.00696840,209244,1700.73696000,100689340.31990840,0
1724112000000,59438.5,60910.55,59363.31,60619.18,6392.34637,1724126399999,385919354.62335670,391677,3599.00840000,217253959.88083830,0
1724126400000,60619.19,61400.0,60576.06,60924.33,5275.93633,1724140799999,321640999.27322450,313315,2907.82780000,177272708.22143900,0
1724140800000,60924.33,60975.0,60401.9,60518.82,3208.7774,1724155199999,194853079.44454170,185166,1687.24019000,102461533.65044920,0
1724155200000,60518.83,60955.99,58680.01,58825.53,10444.8448,1724169599999,624127832.70585280,543466,4845.30857000,289614371.09833110,0
1724169600000,58825.53,59597.28,58548.23,59511.99,3678.04238,1724183999999,217193188.50223270,278323,1910.42465000,112850006.60040890,0
1724184000000,59512.0,59722.72,58802.35,59013.8,2477.4982,1724198399999,146885695.24181180,192572,1091.41058000,64727936.70147340,0
1724198400000,59013.8,59519.99,58783.47,59320.0,2364.50372,1724212799999,139972537.92327080,179051,1115.32735000,66044182.57021100,0
1724212800000,59320.0,59739.52,59183.13,59712.0,2017.26415,1724227199999,120099988.61925450,145677,1005.87384000,59899135.76965510,0
1724227200000,59711.99,59924.13,59085.88,59361.14,2931.20089,1724241599999,174097948.93949770,212810,1338.10704000,79507163.06943770,0
1724241600000,59361.14,60201.98,58850.0,59511.8,8008.24548,1724255999999,476935067.63268660,569138,3983.33662000,237259203.47383610,0
1724256000000,59511.79,61625.2,59375.0,61570.0,7137.29601,1724270399999,432554791.30804840,543988,3903.27417000,236685344.20451470,0
1724270400000,61570.0,61820.93,60902.13,61156.03,5525.13195,1724284799999,338869220.67329660,330861,2810.99082000,172434692.31180020,0
1724284800000,61156.03,61229.0,59724.87,60548.9,4109.54112,1724299199999,248719537.38535350,300119,1882.36317000,113946537.92983880,0
1724299200000,60548.9,61114.23,60459.98,60984.31,2676.87579,1724313599999,162643910.84114050,247473,1298.39619000,78905199.23232490,0
1724313600000,60984.31,61400.0,60802.38,61336.09,3099.60131,1724327999999,189382142.94147390,227792,1566.08515000,95711083.57825090,0
1724328000000,61336.09,61398.18,60100.0,60407.4,6849.31563,1724342399999,415590054.70393370,526537,3221.92618000,195479446.68498750,0
1724342400000,60407.39,60600.2,60131.0,60308.0,2663.66757,1724356799999,160799100.94393240,276554,1305.34428000,78807442.18474570,0
1724356800000,60307.99,60707.88,60288.0,60375.84,1842.20446,1724371199999,111409501.14018350,139805,995.21879000,60192331.46802570,0
