timestamp,open,high,low,close,volume,taker_buy_base,buy_vol,sell_vol,vol_delta
2026-02-16 15:30:00,68243.06,68257.28,67418.0,67440.91,779.3039,303.86494,303.86494,475.43896,-171.57402000000002
2026-02-16 15:35:00,67440.91,67515.98,67300.0,67412.0,417.88648,123.3919,123.3919,294.49458,-171.10267999999996
2026-02-16 15:40:00,67412.0,67502.88,67294.11,67449.07,137.66224,77.8537,77.8537,59.808539999999994,18.04516000000001
2026-02-16 15:45:00,67449.07,67572.0,67360.0,67485.45,159.78001,76.30838,76.30838,83.47163,-7.163250000000005
2026-02-16 15:50:00,67485.45,67709.99,67485.44,67634.51,96.77554,49.96894,49.96894,46.8066,3.1623400000000004
2026-02-16 15:55:00,67634.51,67687.97,67500.0,67539.52,53.87364,28.90654,28.90654,24.967100000000002,3.9394399999999976
2026-02-16 16:00:00,67539.53,67677.0,67513.94,67674.3,102.48674,56.90495,56.90495,45.58179,11.323160000000001
2026-02-16 16:05:00,67674.3,67820.7,67674.29,67730.06,131.8685,76.91949,76.91949,54.949010000000015,21.97047999999998
2026-02-16 16:10:00,67730.06,67838.15,67677.0,67739.99,140.03267,34.50738,34.50738,105.52529,-71.01791
2026-02-16 16:15:00,67739.99,67778.0,67588.01,67606.48,59.95854,24.33148,24.33148,35.62706,-11.295580000000001
2026-02-16 16:20:00,67606.48,67767.25,67579.0,67701.96,52.31712,25.23421,25.23421,27.082910000000002,-1.848700000000001
2026-02-16 16:25:00,67701.96,67805.9,67648.0,67777.47,37.25342,19.3653,19.3653,17.888119999999997,1.4771800000000042
2026-02-16 16:30:00,67777.47,67831.51,67660.17,67669.99,69.16611,23.80576,23.80576,45.360350000000004,-21.554590000000005
2026-02-16 16:35:00,67669.99,67722.84,67656.63,67667.14,34.92755,15.53457,15.53457,19.392979999999994,-3.858409999999994
2026-02-16 16:40:00,67667.14,67927.66,67609.75,67927.66,88.02562,54.06874,54.06874,33.956880000000005,20.111859999999993
2026-02-16 16:45:00,67927.65,67974.86,67853.0,67923.6,94.12564,45.70684,45.70684,48.418800000000005,-2.711960000000005
2026-02-16 16:50:00,67923.6,67937.48,67831.06,67859.81,56.30818,28.76523,28.76523,27.54295,1.2222799999999978
